"","date","week"
"600",2021-11-29,"2021 / 48"
"601",2021-11-30,"2021 / 48"
"602",2021-12-01,"2021 / 48"
"603",2021-12-02,"2021 / 48"
"604",2021-12-03,"2021 / 48"
"605",2021-12-04,"2021 / 48"
"606",2021-12-05,"2021 / 48"
"607",2021-12-06,"2021 / 49"
"608",2021-12-07,"2021 / 49"
"609",2021-12-08,"2021 / 49"
"610",2021-12-09,"2021 / 49"
"611",2021-12-10,"2021 / 49"
"612",2021-12-11,"2021 / 49"
"613",2021-12-12,"2021 / 49"
"614",2021-12-13,"2021 / 50"
"615",2021-12-14,"2021 / 50"
"616",2021-12-15,"2021 / 50"
"617",2021-12-16,"2021 / 50"
"618",2021-12-17,"2021 / 50"
"619",2021-12-18,"2021 / 50"
"620",2021-12-19,"2021 / 50"
"621",2021-12-20,"2021 / 51"
"622",2021-12-21,"2021 / 51"
"623",2021-12-22,"2021 / 51"
"624",2021-12-23,"2021 / 51"
"625",2021-12-24,"2021 / 51"
"626",2021-12-25,"2021 / 51"
"627",2021-12-26,"2021 / 51"
"628",2021-12-27,"2021 / 52"
"629",2021-12-28,"2021 / 52"
"630",2021-12-29,"2021 / 52"
"631",2021-12-30,"2021 / 52"
"632",2021-12-31,"2021 / 52"
"633",2022-01-01,"2021 / 52"
"634",2022-01-02,"2021 / 52"
"635",2022-01-03,"2022 / 1"
"636",2022-01-04,"2022 / 1"
"637",2022-01-05,"2022 / 1"
"638",2022-01-06,"2022 / 1"
"639",2022-01-07,"2022 / 1"
"640",2022-01-08,"2022 / 1"
"641",2022-01-09,"2022 / 1"
"642",2022-01-10,"2022 / 2"
"643",2022-01-11,"2022 / 2"
"644",2022-01-12,"2022 / 2"
"645",2022-01-13,"2022 / 2"
"646",2022-01-14,"2022 / 2"
"647",2022-01-15,"2022 / 2"
"648",2022-01-16,"2022 / 2"
"649",2022-01-17,"2022 / 3"
"650",2022-01-18,"2022 / 3"
"651",2022-01-19,"2022 / 3"
"652",2022-01-20,"2022 / 3"
"653",2022-01-21,"2022 / 3"
"654",2022-01-22,"2022 / 3"
"655",2022-01-23,"2022 / 3"
"656",2022-01-24,"2022 / 4"
"657",2022-01-25,"2022 / 4"
"658",2022-01-26,"2022 / 4"
"659",2022-01-27,"2022 / 4"
"660",2022-01-28,"2022 / 4"
"661",2022-01-29,"2022 / 4"
"662",2022-01-30,"2022 / 4"
"663",2022-01-31,"2022 / 5"
"664",2022-02-01,"2022 / 5"
"665",2022-02-02,"2022 / 5"
"666",2022-02-03,"2022 / 5"
"667",2022-02-04,"2022 / 5"
"668",2022-02-05,"2022 / 5"
"669",2022-02-06,"2022 / 5"
"670",2022-02-07,"2022 / 6"
"671",2022-02-08,"2022 / 6"
"672",2022-02-09,"2022 / 6"
"673",2022-02-10,"2022 / 6"
"674",2022-02-11,"2022 / 6"
"675",2022-02-12,"2022 / 6"
"676",2022-02-13,"2022 / 6"
"677",2022-02-14,"2022 / 7"
"678",2022-02-15,"2022 / 7"
"679",2022-02-16,"2022 / 7"
"680",2022-02-17,"2022 / 7"
"681",2022-02-18,"2022 / 7"
"682",2022-02-19,"2022 / 7"
"683",2022-02-20,"2022 / 7"
"684",2022-02-21,"2022 / 8"
"685",2022-02-22,"2022 / 8"
"686",2022-02-23,"2022 / 8"
"687",2022-02-24,"2022 / 8"
"688",2022-02-25,"2022 / 8"
"689",2022-02-26,"2022 / 8"
"690",2022-02-27,"2022 / 8"
"691",2022-02-28,"2022 / 9"
"692",2022-03-01,"2022 / 9"
"693",2022-03-02,"2022 / 9"
